No,SN Tyre,Reg Unit,Tanggal Pengecekan,PIC,Suhu luar ruangan,Suhu Tyre,Aktual (PSI),Remedy PSI,Kondisi,Remark
3451,ABA 230710,ABA6100,8/29/2023 7:56,OBETH PARABAK,28,29,135,,,
3452,ABA 230708,ABA6100,8/29/2023 7:56,OBETH PARABAK,28,27,135,,,
3453,ABA 230402,ABA6100,8/29/2023 7:56,OBETH PARABAK,28,27,110,10,,
3454,ABA 230405,ABA6100,8/29/2023 7:56,OBETH PARABAK,28,28,115,5,,
3455,ABA 230304,ABA6100,8/29/2023 7:56,OBETH PARABAK,28,30,115,5,,
3456,ABA 221107,ABA6100,8/29/2023 7:56,OBETH PARABAK,28,29,115,,,
3457,ABA 230214,ABA694,8/29/2023 8:49,OBETH PARABAK,29,30,65,35,,
3458,ABA 230213,ABA694,8/29/2023 8:49,OBETH PARABAK,29,30,100,,,
3459,ABA 221005 BS,ABA694,8/29/2023 8:49,OBETH PARABAK,29,30,115,5,,
3460,ABA 221006,ABA694,8/29/2023 8:49,OBETH PARABAK,29,28,115,5,,
3461,ABA 220723,ABA694,8/29/2023 8:49,OBETH PARABAK,29,32,115,5,,
3462,ABA 230408,ABA694,8/29/2023 8:49,OBETH PARABAK,29,31,115,5,,
3463,ABA 230409,ABA694,8/29/2023 8:49,OBETH PARABAK,29,28,115,5,,
3464,ABA 230703,ABA694,8/29/2023 8:49,OBETH PARABAK,29,28,125,5,,
3465,ABA 230314,ABA694,8/29/2023 8:49,OBETH PARABAK,29,33,120,,,
3466,ABA 221105,ABA6105,8/28/2023 9:00,JANRI RANTETAMPANG,26,27,100,,,
3467,ABA 221102,ABA6105,8/28/2023 9:00,JANRI RANTETAMPANG,26,28,100,,,
3468,ABA 221117,ABA6105,8/28/2023 9:00,JANRI RANTETAMPANG,26,28,135,,,
3469,ABA 221118,ABA6105,8/28/2023 9:00,JANRI RANTETAMPANG,26,27,130,5,,
3470,ABA 221115,ABA6105,8/28/2023 9:00,JANRI RANTETAMPANG,26,27,115,5,,
3471,ABA 221119,ABA6105,8/28/2023 9:00,JANRI RANTETAMPANG,26,28,130,5,,
3472,ABA 221129,ABA6105,8/28/2023 9:00,JANRI RANTETAMPANG,26,28,130,5,,
3473,ABA 221004 DT,ABA6105,8/28/2023 9:00,JANRI RANTETAMPANG,26,27,120,,,
3474,ABA 221114,ABA6105,8/28/2023 9:00,JANRI RANTETAMPANG,26,27,115,5,,
3475,ABA 220624,ABA6101,8/30/2023 7:20,OBETH PARABAK,28,27,100,,,
3476,ABA 230404,ABA6101,8/30/2023 7:20,OBETH PARABAK,28,27,120,,,
3477,ABA 230513,ABA6101,8/30/2023 7:20,OBETH PARABAK,28,27,120,,,
3478,ABA 221137,ABA6101,8/30/2023 7:20,OBETH PARABAK,28,28,120,,,
3479,ABA 220702,ABA6101,8/30/2023 7:20,OBETH PARABAK,28,28,120,,,
3480,ABA 230510,ABA6101,8/30/2023 7:20,OBETH PARABAK,28,27,120,,,
3481,ABA 230509,ABA6101,8/30/2023 7:20,OBETH PARABAK,28,28,120,,,
3482,ABA 221140,ABA6101,8/30/2023 7:20,OBETH PARABAK,28,27,135,,,
3483,ABA 221013,ABA6101,8/30/2023 7:20,OBETH PARABAK,28,29,120,,,
3484,ABA 221139,ABA6104,8/28/2023 8:05,OBETH PARABAK,28,24,135,,,
3485,ABA 220728,ABA6103,8/28/2023 8:15,OBETH PARABAK,28,27,115,5,,
3486,ABA 221008,ABA6102,8/28/2023 8:30,OBETH PARABAK,28,28,120,,,
3487,ABA 220605,ABA696,8/28/2023 11:20,OBETH PARABAK,29,29,120,,,
3488,ABA 230403,ABA6100,8/29/2023 7:56,OBETH PARABAK,28,27,115,,,
3489,ABA 220612 MG,309,10/17/2023 10:30,JANRI RANTETAMPANG,30,30,60,,,
3490,ABA 220611 MG,309,10/17/2023 10:30,JANRI RANTETAMPANG,30,30,60,,,
3491,aba 210514,309,10/17/2023 10:30,JANRI RANTETAMPANG,30,31,60,,,
3492,ABA 210905 MG,309,10/17/2023 10:30,JANRI RANTETAMPANG,30,31,60,,,
3493,ABA 210906 MG,309,10/17/2023 10:30,JANRI RANTETAMPANG,30,32,60,,,
3494,ABA 220614,309,10/17/2023 10:30,JANRI RANTETAMPANG,30,30,60,,,
3495,ABA 221006,ABA694,11/18/2023 11:29,HRR,30,29,120,,,
3496,ABA 221006,ABA694,11/22/2023 8:24,OBETH PARABAK,30,33,120,,,
3497,ABA 220727,ABA6102,11/1/2023 8:11,JANRI RANTETAMPANG,28,35,115,5,,
3498,ABA 220811,ABA694,11/1/2023 8:00,JANRI RANTETAMPANG,27,32,120,,,
3499,ABA 221138,ABA6100,11/3/2023 14:02,JANRI RANTETAMPANG,35,35,120,,,
3500,ABA 220801,ABA699,11/3/2023 13:28,JANRI RANTETAMPANG,34,41,120,,,
3501,ABA 220905,ABA693,11/3/2023 11:15,JANRI RANTETAMPANG,34,37,130,5,,
3502,ABA 220727,ABA6102,11/15/2023 7:57,JANRI RANTETAMPANG,28,43,120,,,
3503,ABA 220905,ABA693,11/17/2023 10:31,HARIRA TUAHNO,30,33,115,5,,
3504,ABA 220720,ABA696,11/19/2023 9:23,OBETH PARABAK,29,48,130,,,
3505,ABA 220801,ABA699,11/20/2023 14:28,ARDI,35,46,130,,,
3506,ABA 220727,ABA6102,11/22/2023 7:53,OBETH PARABAK,29,35,115,5,,
3507,ABA 221106,ABA695,11/1/2023 9:40,JANRI RANTETAMPANG,31,43,120,,,
3508,ABA 221106,ABA695,11/4/2023 10:33,OBETH PARABAK,29,26,115,5,,
3509,ABA 220907,ABA6105,11/4/2023 9:04,OBETH PARABAK,27,27,120,,,
3510,ABA 221116,ABA692,11/4/2023 8:44,OBETH PARABAK,26,25,115,5,,
3511,ABA 220605,ABA6106,11/4/2023 9:10,OBETH PARABAK,27,27,135,,,
3512,ABA 220906,ABA693,11/3/2023 11:15,JANRI RANTETAMPANG,34,36,120,,,
3513,ABA 220906,ABA693,11/17/2023 10:31,HARIRA TUAHNO,30,33,115,5,,
3514,ABA 221132,ABA695,11/1/2023 9:40,JANRI RANTETAMPANG,31,45,120,,,
3515,ABA 221132,ABA695,11/4/2023 10:33,OBETH PARABAK,29,26,135,,,
3516,ABA 221142,ABA692,11/4/2023 8:44,OBETH PARABAK,26,26,125,10,,
3517,ABA 221126,ABA6104,11/4/2023 10:15,OBETH PARABAK,28,29,115,5,,
3518,ABA 221132,ABA695,11/11/2023 7:11,JANRI RANTETAMPANG,28,35,135,,,
3519,ABA 221122,ABA693,11/3/2023 11:15,JANRI RANTETAMPANG,34,35,130,5,,
3520,ABA 211029,720,11/18/2023 7:50,HRR,27,27,125,5,,
3521,ABA 221132,ABA695,11/18/2023 8:15,HRR,27,27,125,10,,
3522,ABA 220622,ABA6102,11/1/2023 8:11,JANRI RANTETAMPANG,28,32,100,5,,
3523,ABA 220316,ABA6101,11/3/2023 9:12,JANRI RANTETAMPANG,28,31,100,,,
3524,ABA 220616,ABA699,11/3/2023 13:28,JANRI RANTETAMPANG,34,41,115,,,
3525,ABA 220904,ABA6106,11/4/2023 9:10,OBETH PARABAK,27,27,100,,,
3526,ABA 220904,ABA6106,11/14/2023 6:45,JANRI RANTETAMPANG,28,35,100,5,,
3527,ABA 220622,ABA6102,11/15/2023 7:57,JANRI RANTETAMPANG,28,40,105,,,
3528,ABA 220612 MG,309,11/16/2023 14:00,JANRI RANTETAMPANG,29,30,70,,,
3529,ABA 220611 MG,309,11/16/2023 14:00,JANRI RANTETAMPANG,29,30,70,,,
